date,tag_count,image_count,latest_images,arm_images,arm64_images,ppc64le_images,x386_images,amd64_images,s390x_images,linux_images,windows_images
2019-12-28 00:00:00,5409,8938,1084,1126,925,670,544,4249,1408,8760,135
2019-12-29 00:00:00,5409,8930,1120,1116,955,669,527,4260,1387,8728,159
2019-12-30 00:00:00,5409,8918,1124,1114,947,658,525,4273,1385,8716,159
2019-12-31 00:00:00,5409,8894,1121,1114,930,669,523,4259,1383,8687,164
2020-01-01 00:00:00,5409,8892,1121,1090,928,663,523,4289,1383,8685,164
2020-01-02 00:00:00,5409,8894,1121,1114,930,656,523,4272,1383,8687,164
2020-01-03 00:00:00,5409,8940,1120,1110,944,670,523,4280,1397,8731,166
2020-01-04 00:00:00,5409,8894,1112,1105,930,662,523,4268,1390,8689,162
2020-01-05 00:00:00,5409,8895,1112,1098,931,662,523,4275,1390,8690,162
2020-01-06 00:00:00,5409,8894,1112,1106,929,672,523,4258,1390,8689,162
2020-01-07 00:00:00,5411,8912,1119,1114,933,662,523,4270,1394,8707,162
2020-01-08 00:00:00,5423,8942,1122,1124,938,662,527,4281,1394,8739,160
2020-01-09 00:00:00,5445,9034,1123,1130,945,732,547,4270,1394,8831,160
2020-01-10 00:00:00,5445,9012,1116,1125,946,726,543,4266,1390,8809,160
2020-01-11 00:00:00,5450,9023,1117,1150,947,666,543,4311,1390,8820,160
2020-01-12 00:00:00,5454,9028,1117,1150,948,666,543,4315,1390,8825,160
2020-01-13 00:00:00,5454,9026,1117,1150,946,666,543,4315,1390,8823,160
2020-01-14 00:00:00,5454,9034,1123,1157,944,666,546,4315,1390,8831,160
2020-01-15 00:00:00,5458,9043,1136,1155,944,672,544,4322,1390,8834,166
2020-01-16 00:00:00,5485,8964,1147,1096,910,669,524,4352,1397,8715,206
2020-01-17 00:00:00,5487,8964,1148,1096,908,669,524,4354,1397,8715,206
2020-01-18 00:00:00,5488,9105,1077,1150,934,696,550,4342,1417,8903,159
2020-01-19 00:00:00,5488,9084,1077,1144,931,693,547,4339,1414,8882,159
2020-01-20 00:00:00,5488,9169,1078,1120,960,733,547,4353,1440,8967,159
2020-01-21 00:00:00,5488,9067,1080,1118,932,702,546,4347,1406,8868,156
2020-01-22 00:00:00,5488,9006,1077,1099,937,686,531,4347,1390,8813,150
2020-01-23 00:00:00,5489,8961,1066,1074,915,686,538,4339,1393,8777,141
2020-01-24 00:00:00,5467,8907,1047,1114,916,676,523,4290,1372,8741,123
2020-01-25 00:00:00,5467,8846,1038,1090,876,643,513,4347,1361,8642,161
2020-01-26 00:00:00,5467,8846,1038,1090,876,653,513,4337,1361,8642,161
2020-01-27 00:00:00,5467,8845,1038,1090,875,703,513,4287,1361,8641,161
2020-01-28 00:00:00,5467,8962,1031,1086,912,721,503,4325,1399,8784,135
2020-01-29 00:00:00,5490,8851,1064,1076,893,657,498,4344,1367,8659,149
